,Word,Frequency
0,black,181
1,minimal,50
2,leg,92
3,aroma,2021
4,coffee,473
5,oatmeal,203
6,nice,4854
7,big,2756
8,character,1664
9,great,2024
10,note,704
11,taste,6359
12,acidic,295
13,chalky,133
14,acrid,133
15,balance,559
16,slight,1333
17,green,262
18,herbal,233
19,back,1149
20,kick,366
21,almost,3257
22,work,548
23,drinkability,582
24,good,1451
25,guess,496
26,appearance,1191
27,pale,36
28,somewhat,1121
29,stale,256
30,kind,1369
31,mild,1881
32,weird,322
33,grainy,515
34,suppose,237
35,budget,27
36,night,387
37,frat,4
38,party,160
39,youd,80
40,expect,459
41,lite,88
42,beer,3824
43,nothing,1111
44,drink,1415
45,regular,338
46,basis,44
47,pour,897
48,come,1011
49,nose,2812
50,touch,1167
51,spicy,922
52,coming,683
53,play,199
54,flavor,5495
55,little,3103
56,style,2477
57,still,2465
58,ha,1676
59,creamy,446
60,feel,2118
61,well,4125
62,another,870
63,unfiltered,183
64,sudsy,43
65,soapy,160
66,clove,439
67,much,4123
68,sourness,494
69,side,451
70,tongue,916
71,done,218
72,away,230
73,scored,37
74,light,1900
75,refreshing,1190
76,quite,1171
77,hot,202
78,fruity,788
79,wild,134
80,nowhere,40
81,near,239
82,smooth,926
83,true,384
84,wit,165
85,ckeegan04,1
86,one,3969
87,bottle,131
88,wa,1625
89,standard,411
90,brew,2902
91,two,262
92,turned,167
93,sweet,1290
94,smoke,907
95,ale,1139
96,balanced,995
97,sweetness,1772
98,first,1882
99,bitter,1257
100,nuttiness,327
101,finishing,265
102,crisp,762
103,bowl,35
104,soup,23
105,wish,356
106,rest,334
107,day,530
108,received,48
109,trade,64
110,extra,278
111,opportunity,47
112,try,504
113,smell,4184
114,lemon,615
115,pie,21
116,tart,640
117,zest,32
118,meringue,17
119,remarkably,83
120,cream,314
121,definitely,1695
122,rather,1336
123,although,1061
124,bit,2466
125,deal,62
126,bubbly,218
127,sour,1117
128,grain,541
129,boiled,45
130,corn,461
131,sugar,374
132,fight,38
133,way,1838
134,watery,644
135,anything,752
136,lost,166
137,dilution,1
138,exciting,174
139,clean,1131
140,pizza,54
141,wont,244
142,overpower,52
143,stand,413
144,either,689
145,sad,84
146,available,305
147,arent,169
148,bad,1801
149,watered,223
150,swill,62
151,picturesque,3
152,tulip,69
153,plus,356
154,pure,202
155,came,461
156,right,1135
157,top,685
158,apple,431
159,spice,1102
160,front,934
161,fairly,441
162,overall,1164
163,thick,230
164,doesnt,373
165,sit,126
166,heavy,1273
167,tongued,26
168,pretty,247
169,textbook,36
170,tripel,271
171,type,396
172,probably,841
173,best,787
174,atlantic,6
175,500ml,108
176,large,48
177,wicked,20
178,14inch,3
179,look,1554
180,detectable,168
181,maple,171
182,flavour,2610
183,toffee,163
184,maltiness,667
185,slow,171
186,rolling,34
187,tail,23
188,minor,197
189,bitterness,1030
190,lightly,698
191,hoppy,1021
192,extremely,517
193,effect,216
194,strike,92
195,highly,523
196,drinkable,1334
197,boring,258
198,risk,23
199,think,1472
200,rich,1179
201,something,1764
202,savour,14
203,due,471
204,moderation,11
205,soon,290
206,skunk,267
207,strong,2100
208,hard,439
209,past,238
210,skunky,239
211,tasted,707
212,bar,350
213,couple,274
214,year,416
215,ago,7
216,mixed,578
217,pack,303
218,fireside,9
219,nut,393
220,honey,953
221,cloudy,154
222,decent,693
223,lasting,153
224,longer,147
225,blue,106
226,berry,375
227,specific,67
228,pebble,1
229,tasting,709
230,see,1078
231,anyway,256
232,appropriate,176
233,complex,1168
234,certainly,903
235,tried,480
236,moving,79
237,almondy,4
238,fact,500
239,nutty,444
240,surprising,269
241,even,2405
242,different,634
243,satisfying,296
244,maybe,1715
245,stone,74
246,average,419
247,malty,793
248,astringency,267
249,unusually,28
250,distinctive,147
251,pen,1
252,practice,10
253,cant,274
254,though,2614
255,lot,2177
256,palate,1593
257,aforesaid,1
258,bloody,19
259,japan,62
260,similar,482
261,mouth,1103
262,thats,1231
263,brewer,515
264,intended,52
265,relatively,306
266,drinking,647
267,porter,1119
268,lukewarm,6
269,tonight,102
270,stouty,12
271,thickness,122
272,aftertaste,1662
273,exactly,334
274,blend,505
275,three,198
276,id,271
277,wanting,56
278,lager,1854
279,wash,76
280,astringent,169
281,residue,65
282,roof,22
283,make,1479
284,fine,916
285,throughout,612
286,ala,44
287,found,860
288,country,119
289,may,850
290,awesome,462
291,adequate,47
292,anywhere,110
293,outside,147
294,sheet,53
295,sticky,556
296,definite,362
297,biscuit,370
298,quality,1314
299,bring,225
300,full,967
301,session,31
302,flavored,147
303,got,1141
304,six,44
305,bubble,419
306,immediately,284
307,aggressive,202
308,musty,411
309,grass,356
310,certain,209
311,tang,182
312,better,938
313,along,673
314,alright,175
315,normal,220
316,lack,501
317,thereof,4
318,really,2930
319,discern,26
320,portion,62
321,wouldnt,224
322,buy,370
323,entire,56
324,start,1239
325,rapidly,72
326,neither,161
327,pleasant,1442
328,unpleasant,310
329,ism,10
330,bite,429
331,whatsoever,91
332,mouthful,104
333,doe,1135
334,12oz,127
335,14quot,35
336,fast,109
337,behind,237
338,zero,79
339,bakery,14
340,mostly,745
341,faint,1062
342,graininess,221
343,fainter,15
344,level,31
345,stop,136
346,short,425
347,fizzy,320
348,prefer,318
349,many,892
350,wasnt,532
351,gather,16
352,thought,638
353,winter,180
354,warmer,95
355,guy,267
356,home,192
357,far,876
358,go,1003
359,330ml,46
360,11ounce,1
361,totally,239
362,opaque,167
363,vague,146
364,red,269
365,edge,211
366,hold,354
367,source,53
368,seen,290
369,spite,37
370,truly,231
371,unique,554
372,perfect,512
373,score,228
374,scent,928
375,repeated,11
376,sniff,66
377,yield,16
378,detect,212
379,plum,237
380,apricot,394
381,tough,103
382,pin,34
383,warm,530
384,toastiness,91
385,disagree,13
386,end,1288
387,long,729
388,sip,556
389,present,745
390,almond,127
391,thing,896
392,holiday,135
393,cake,120
394,fantastic,456
395,rear,37
396,stomach,52
397,brain,38
398,stuff,665
399,milk,47
400,hearty,146
401,comforting,32
402,wintry,8
403,opinion,379
404,based,228
405,set,201
406,excellent,666
407,nutmeg,99
408,cinnamon,274
409,store,168
410,seasonal,118
411,last,317
412,dont,528
413,brewery,1069
414,change,170
415,recipe,145
416,shake,38
417,2nd,47
418,later,213
419,murkiness,11
420,sediment,92
421,sugary,339
422,spiciness,430
423,chalkiness,20
424,pungent,242
425,buttery,372
426,acidity,367
427,impression,200
428,considerably,65
429,low,267
430,favorable,12
431,depth,293
432,warmed,168
433,lee,27
434,stopper,8
435,cellar,164
436,temp,58
437,snifter,212
438,surface,14
439,cocoa,454
440,roast,575
441,silky,201
442,gentle,276
443,drinker,261
444,stout,1937
445,poorly,43
446,enjoy,604
447,nonetheless,187
448,slightly,1276
449,finish,755
450,draft,215
451,staple,70
452,tap,921
453,paler,27
454,whole,309
455,going,1211
456,hay,285
457,adjunct,333
458,weak,569
459,lifeless,24
460,disappointed,164
461,taproom,11
462,cuisine,29
463,plate,27
464,never,849
465,c,65
466,typical,746
467,macro,321
468,dinner,139
469,sake,88
470,169oz,11
471,sam,34
472,dld08,2
473,tinting,5
474,mocha,42
475,form,213
476,semi,57
477,rough,127
478,soft,1061
479,presence,552
480,citrus,9
481,juicy,261
482,floral,14
483,spring,121
484,part,530
485,alcohol,1890
486,age,322
487,add,553
488,potent,158
489,especially,699
490,grassy,156
491,earthy,638
492,savory,96
493,pronounced,416
494,gently,102
495,warmth,191
496,swallow,281
497,smoothly,69
498,nicely,1087
499,contemplate,3
500,savor,65
501,grassiness,120
502,nipper,1
503,foil,19
504,wrapped,36
505,cool,237
506,rendition,18
507,hole,15
508,label,678
509,enough,1389
510,distract,13
511,high,333
512,price,335
513,delirium,2
514,vigorously,11
515,cork,86
516,silently,2
517,barely,453
518,course,327
519,burnt,158
520,char,184
521,sickly,51
522,turn,390
523,55f,6
524,ester,350
525,prune,143
526,must,360
527,ill,248
528,worry,32
529,kept,130
530,liking,167
531,thinking,160
532,assume,129
533,extreme,143
534,didnt,437
535,slick,221
536,lighter,624
537,size,11
538,hidden,99
539,heft,90
540,shop,81
541,47abv,3
542,chilled,63
543,ultra,54
544,elegant,77
545,topped,56
546,tight,144
547,froth,138
548,lively,302
549,flow,93
550,tiny,224
551,pearl,8
552,uneven,64
553,german,523
554,harmony,35
555,mango,137
556,syrupy,354
557,chestnutty,2
558,healthy,124
559,stay,249
560,constantly,37
561,background,634
562,chestnut,50
563,seem,331
564,dominate,124
565,foretaste,29
566,gradually,81
567,yielding,35
568,bittersweet,195
569,aromatic,226
570,raisin,311
571,tea,348
572,lead,313
573,soothing,57
574,dose,67
575,demonstrate,6
576,somehow,239
577,straightforwardly,4
578,toasty,390
579,fruitiness,748
580,shown,39
581,pleasure,67
582,experience,478
583,moment,171
584,sniffing,28
585,premium,51
586,trade1l,1
587,peach,320
588,haziness,35
589,actually,1113
590,backbone,242
591,sugariness,12
592,dirty,195
593,nectarine,33
594,sweetwater,74
595,guessing,107
596,table,116
597,honest,216
598,blessing,4
599,beautiful,519
600,place,442
601,resinous,115
602,wave,125
603,citric,290
604,dos,13
605,dry,1290
606,give,818
607,wonderful,630
608,fresh,1518
609,month,225
610,old,640
611,gritty,65
612,angle,37
613,incredibly,318
614,flavorful,411
615,piney,196
616,raw,169
617,added,410
618,shame,100
619,getting,641
620,separate,51
621,surely,76
622,ashamed,11
623,similarly,50
624,horrible,132
625,exception,95
626,generous,154
627,appealing,232
628,plummy,19
629,ultimately,94
630,simple,581
631,wine,304
632,delightful,128
633,robust,350
634,soupy,10
635,tasty,745
636,mighty,24
637,mainly,297
638,highlight,14
639,distinctly,76
640,echo,47
641,supple,42
642,sharp,639
643,molasses,374
644,wood,612
645,bean,93
646,complexity,651
647,yet,1256
648,absolutely,287
649,loaded,95
650,junk,6
651,trappist,64
652,carry,269
653,happen,69
654,wander,4
655,sure,1347
656,outstanding,282
657,rolled,18
658,rouse,3
659,yeast,1259
660,tall,46
661,banana,458
662,mellow,570
663,wheat,1083
664,underneath,276
665,identical,35
666,instead,359
667,take,936
668,singing,7
669,noble,15
670,favorite,147
671,roll,121
672,believe,265
673,let,464
674,muddy,81
675,every,306
676,time,1240
677,crack,34
678,open,385
679,inhale,12
680,underlying,249
681,magnificent,51
682,mean,491
683,deny,6
684,burp,39
685,find,827
686,care,84
687,usually,229
688,talk,57
689,opening,117
690,morning,89
691,review,723
692,cover,151
693,footnote,3
694,put,353
695,brand,100
696,name,462
697,alone,113
698,characteristic,615
699,thinner,140
700,league,40
701,ruddy,29
702,diminutive,2
703,cap,244
704,drop,203
705,melon,158
706,show,771
707,briskly,7
708,nuance,99
709,without,985
710,entering,10
711,realm,42
712,courtesy,46
713,rushing,13
714,massive,229
715,damn,111
716,piny,60
717,grapefruit,430
718,harsh,258
719,pine,433
720,ton,506
721,moon,19
722,venture,28
723,toward,304
724,maximum,7
725,ice,95
726,mind,188
727,thankfully,157
728,headache,12
729,friend,321
730,sage,23
731,difficult,150
732,impress,73
733,pouring,159
734,half,64
735,fair,168
736,absent,53
737,faintly,179
738,patience,19
739,judge,42
740,higher,191
741,least,680
742,problem,214
743,chance,115
744,afterward,76
745,physical,5
746,eve,18
747,abuse,3
748,actual,151
749,perhaps,949
750,hour,95
751,plenty,770
752,connoisseur,7
753,said,650
754,preferable,16
755,alternative,58
756,sadly,148
757,decrease,12
758,increase,62
759,drying,203
760,turnoff,14
761,interesting,1243
762,whim,15
763,hit,598
764,new,650
765,looking,579
766,forward,111
767,this12,1
768,ween,5
769,headstrong,3
770,considerable,68
771,job,71
772,spiced,248
773,offering,728
774,mix,597
775,apparent,205
776,overwhelming,331
777,ach,1
778,wee,56
779,scotch,188
780,joy,32
781,sherry,169
782,know,660
783,people,272
784,quick,291
785,bottled,251
786,say,1032
787,crushed,33
788,disappointing,218
789,obvious,229
790,sign,100
791,raspberry,423
792,vinegary,21
793,clearly,216
794,richness,174
795,subtle,1436
796,overprominent,1
797,amazing,481
798,festival,66
799,fall,224
800,toned,97
801,field,66
802,everyday,36
803,combine,152
804,bright,551
805,sparkling,79
806,running,60
807,middle,704
808,oily,283
809,hell,250
810,ya,37
811,beach,79
812,sand,2
813,delicious,798
814,point,705
815,temperature,89
816,akin,65
817,bud,69
818,sock,24
819,wet,343
820,leather,228
821,tied,13
822,fizz,183
823,easier,43
824,met,56
825,capped,39
826,honeyed,64
827,deliver,71
828,dough,160
829,alongside,162
830,delicate,343
831,flash,87
832,pinch,106
833,nick,5
834,bounce,12
835,providing,161
836,final,79
837,counter,45
838,always,568
839,simply,242
840,dumpy,1
841,title,27
842,onto,49
843,craft,107
844,rye,525
845,love,920
846,addition,288
847,apa,168
848,restaurant,132
849,brewing,316
850,barley,507
851,main,113
852,claim,98
853,1004quot,1
854,thousand,21
855,modest,237
856,nothingness,20
857,live,67
858,expectation,139
859,knowing,44
860,business,35
861,millennium,4
862,brew127,1
863,leave,219
864,making,509
865,selection,129
866,local,172
867,lover,82
868,drove,10
869,imperial,143
870,bronze,71
871,tone,515
872,peat,259
873,enjoyable,624
874,fig,160
875,special,184
876,fanatic,9
877,lower,71
878,crannog,1
879,consistently,6
880,across,86
881,12pack,20
882,purple,71
883,shiny,44
884,fairness,9
